dose,RR
0,1
1,0.985590147
2,0.971462789
3,0.957685503
4,0.944321866
5,0.931431737
6,0.919071573
7,0.907294786
8,0.896152125
9,0.885692096
10,0.875960841
11,0.866965274
12,0.858651784
13,0.850964122
14,0.843848839
15,0.837254968
16,0.831133742
17,0.825438335
18,0.820123638
19,0.815146061
20,0.810463357
21,0.806034469
22,0.8018194
23,0.797779102
24,0.793875387
25,0.790070853
26,0.78632883
27,0.782615823
28,0.77892044
29,0.775242507
30,0.77158194
31,0.767938657
32,0.764312578
33,0.76070362
34,0.757111703
35,0.753536747
36,0.749978671
37,0.746437395
38,0.746437395
39,0.746437395
40,0.746437395
41,0.746437395
42,0.746437395
43,0.746437395
44,0.746437395
45,0.746437395
46,0.746437395
47,0.746437395
48,0.746437395
49,0.746437395
50,0.746437395
51,0.746437395
52,0.746437395
53,0.746437395
54,0.746437395
55,0.746437395
56,0.746437395
57,0.746437395
58,0.746437395
59,0.746437395
60,0.746437395
61,0.746437395
62,0.746437395
63,0.746437395
64,0.746437395
65,0.746437395
66,0.746437395
67,0.746437395
68,0.746437395
69,0.746437395
70,0.746437395
71,0.746437395
72,0.746437395
73,0.746437395
74,0.746437395
75,0.746437395
76,0.746437395
77,0.746437395
78,0.746437395
79,0.746437395
80,0.746437395
81,0.746437395
82,0.746437395
83,0.746437395
84,0.746437395
85,0.746437395
86,0.746437395
87,0.746437395
88,0.746437395
89,0.746437395
90,0.746437395
91,0.746437395
92,0.746437395
93,0.746437395
94,0.746437395
95,0.746437395
96,0.746437395
97,0.746437395
98,0.746437395
99,0.746437395
100,0.746437395
101,0.746437395
102,0.746437395
103,0.746437395
104,0.746437395
105,0.746437395
106,0.746437395
107,0.746437395
108,0.746437395
109,0.746437395
110,0.746437395
111,0.746437395
112,0.746437395
113,0.746437395
114,0.746437395
115,0.746437395
116,0.746437395
117,0.746437395
118,0.746437395
119,0.746437395
120,0.746437395
121,0.746437395
122,0.746437395
123,0.746437395
124,0.746437395
125,0.746437395
126,0.746437395
127,0.746437395
128,0.746437395
129,0.746437395
130,0.746437395
131,0.746437395
132,0.746437395
133,0.746437395
134,0.746437395
135,0.746437395
136,0.746437395
137,0.746437395
138,0.746437395
139,0.746437395
140,0.746437395
141,0.746437395
142,0.746437395
143,0.746437395
144,0.746437395
145,0.746437395
146,0.746437395
147,0.746437395
148,0.746437395
149,0.746437395
150,0.746437395
151,0.746437395
152,0.746437395
153,0.746437395
154,0.746437395
155,0.746437395
156,0.746437395
157,0.746437395
158,0.746437395
159,0.746437395
160,0.746437395
161,0.746437395
162,0.746437395
163,0.746437395
164,0.746437395
165,0.746437395
166,0.746437395
167,0.746437395
168,0.746437395
169,0.746437395
170,0.746437395
171,0.746437395
172,0.746437395
173,0.746437395
174,0.746437395
175,0.746437395
176,0.746437395
177,0.746437395
178,0.746437395
179,0.746437395
180,0.746437395
181,0.746437395
182,0.746437395
183,0.746437395
184,0.746437395
185,0.746437395
186,0.746437395
187,0.746437395
188,0.746437395
189,0.746437395
190,0.746437395
191,0.746437395
192,0.746437395
193,0.746437395
194,0.746437395
195,0.746437395
196,0.746437395
197,0.746437395
198,0.746437395
199,0.746437395
200,0.746437395
201,0.746437395
202,0.746437395
203,0.746437395
204,0.746437395
205,0.746437395
206,0.746437395
207,0.746437395
208,0.746437395
209,0.746437395
210,0.746437395
211,0.746437395
212,0.746437395
213,0.746437395
214,0.746437395
215,0.746437395
216,0.746437395
217,0.746437395
218,0.746437395
219,0.746437395
220,0.746437395
221,0.746437395
222,0.746437395
223,0.746437395
224,0.746437395
225,0.746437395
226,0.746437395
227,0.746437395
228,0.746437395
229,0.746437395
230,0.746437395
231,0.746437395
232,0.746437395
233,0.746437395
234,0.746437395
235,0.746437395
236,0.746437395
237,0.746437395
238,0.746437395
239,0.746437395
240,0.746437395
241,0.746437395
242,0.746437395
243,0.746437395
244,0.746437395
245,0.746437395
246,0.746437395
247,0.746437395
248,0.746437395
249,0.746437395
250,0.746437395
251,0.746437395
252,0.746437395
253,0.746437395
254,0.746437395
255,0.746437395
256,0.746437395
257,0.746437395
258,0.746437395
259,0.746437395
260,0.746437395
261,0.746437395
262,0.746437395
263,0.746437395
264,0.746437395
265,0.746437395
266,0.746437395
267,0.746437395
268,0.746437395
269,0.746437395
270,0.746437395
271,0.746437395
272,0.746437395
273,0.746437395
274,0.746437395
275,0.746437395
276,0.746437395
277,0.746437395
278,0.746437395
279,0.746437395
280,0.746437395
281,0.746437395
282,0.746437395
283,0.746437395
284,0.746437395
285,0.746437395
286,0.746437395
287,0.746437395
288,0.746437395
289,0.746437395
290,0.746437395
291,0.746437395
292,0.746437395
293,0.746437395
294,0.746437395
295,0.746437395
296,0.746437395
297,0.746437395
298,0.746437395
299,0.746437395
300,0.746437395
301,0.746437395
302,0.746437395
303,0.746437395
304,0.746437395
305,0.746437395
306,0.746437395
307,0.746437395
308,0.746437395
309,0.746437395
310,0.746437395
311,0.746437395
312,0.746437395
313,0.746437395
314,0.746437395
315,0.746437395
316,0.746437395
317,0.746437395
318,0.746437395
319,0.746437395
320,0.746437395
321,0.746437395
322,0.746437395
323,0.746437395
324,0.746437395
325,0.746437395
326,0.746437395
327,0.746437395
328,0.746437395
329,0.746437395
330,0.746437395
331,0.746437395
332,0.746437395
333,0.746437395
334,0.746437395
335,0.746437395
336,0.746437395
337,0.746437395
338,0.746437395
339,0.746437395
340,0.746437395
341,0.746437395
342,0.746437395
343,0.746437395
344,0.746437395
345,0.746437395
346,0.746437395
347,0.746437395
348,0.746437395
349,0.746437395
350,0.746437395
351,0.746437395
352,0.746437395
353,0.746437395
354,0.746437395
355,0.746437395
356,0.746437395
357,0.746437395
358,0.746437395
359,0.746437395
360,0.746437395
361,0.746437395
362,0.746437395
363,0.746437395
364,0.746437395
365,0.746437395
366,0.746437395
367,0.746437395
368,0.746437395
369,0.746437395
370,0.746437395
371,0.746437395
372,0.746437395
373,0.746437395
374,0.746437395
375,0.746437395
376,0.746437395
377,0.746437395
378,0.746437395
379,0.746437395
380,0.746437395
381,0.746437395
382,0.746437395
383,0.746437395
384,0.746437395
385,0.746437395
386,0.746437395
387,0.746437395
388,0.746437395
389,0.746437395
390,0.746437395
391,0.746437395
392,0.746437395
393,0.746437395
394,0.746437395
395,0.746437395
396,0.746437395
397,0.746437395
398,0.746437395
399,0.746437395
400,0.746437395
401,0.746437395
402,0.746437395
403,0.746437395
404,0.746437395
405,0.746437395
406,0.746437395
407,0.746437395
408,0.746437395
409,0.746437395
410,0.746437395
411,0.746437395
412,0.746437395
413,0.746437395
414,0.746437395
415,0.746437395
416,0.746437395
417,0.746437395
418,0.746437395
419,0.746437395
420,0.746437395
421,0.746437395
422,0.746437395
423,0.746437395
424,0.746437395
425,0.746437395
426,0.746437395
427,0.746437395
428,0.746437395
429,0.746437395
430,0.746437395
431,0.746437395
432,0.746437395
433,0.746437395
434,0.746437395
435,0.746437395
436,0.746437395
437,0.746437395
438,0.746437395
439,0.746437395
440,0.746437395
441,0.746437395
442,0.746437395
443,0.746437395
444,0.746437395
445,0.746437395
446,0.746437395
447,0.746437395
448,0.746437395
449,0.746437395
450,0.746437395
451,0.746437395
452,0.746437395
453,0.746437395
454,0.746437395
455,0.746437395
456,0.746437395
457,0.746437395
458,0.746437395
459,0.746437395
460,0.746437395
461,0.746437395
462,0.746437395
463,0.746437395
464,0.746437395
465,0.746437395
466,0.746437395
467,0.746437395
468,0.746437395
469,0.746437395
470,0.746437395
471,0.746437395
472,0.746437395
473,0.746437395
474,0.746437395
475,0.746437395
476,0.746437395
477,0.746437395
478,0.746437395
479,0.746437395
480,0.746437395
481,0.746437395
482,0.746437395
483,0.746437395
484,0.746437395
485,0.746437395
486,0.746437395
487,0.746437395
488,0.746437395
489,0.746437395
490,0.746437395
491,0.746437395
492,0.746437395
493,0.746437395
494,0.746437395
495,0.746437395
496,0.746437395
497,0.746437395
498,0.746437395
499,0.746437395
500,0.746437395
501,0.746437395
502,0.746437395
503,0.746437395
504,0.746437395
505,0.746437395
506,0.746437395
507,0.746437395
508,0.746437395
509,0.746437395
510,0.746437395
511,0.746437395
512,0.746437395
513,0.746437395
514,0.746437395
515,0.746437395
516,0.746437395
517,0.746437395
518,0.746437395
519,0.746437395
520,0.746437395
521,0.746437395
522,0.746437395
523,0.746437395
524,0.746437395
525,0.746437395
526,0.746437395
527,0.746437395
528,0.746437395
529,0.746437395
530,0.746437395
531,0.746437395
532,0.746437395
533,0.746437395
534,0.746437395
535,0.746437395
536,0.746437395
537,0.746437395
538,0.746437395
539,0.746437395
540,0.746437395
541,0.746437395
542,0.746437395
543,0.746437395
544,0.746437395
545,0.746437395
546,0.746437395
547,0.746437395
548,0.746437395
549,0.746437395
550,0.746437395
551,0.746437395
552,0.746437395
553,0.746437395
554,0.746437395
555,0.746437395
556,0.746437395
557,0.746437395
558,0.746437395
559,0.746437395
560,0.746437395
561,0.746437395
562,0.746437395
563,0.746437395
564,0.746437395
565,0.746437395
566,0.746437395
567,0.746437395
568,0.746437395
569,0.746437395
570,0.746437395
571,0.746437395
572,0.746437395
573,0.746437395
574,0.746437395
575,0.746437395
576,0.746437395
577,0.746437395
578,0.746437395
579,0.746437395
580,0.746437395
581,0.746437395
582,0.746437395
583,0.746437395
584,0.746437395
585,0.746437395
586,0.746437395
587,0.746437395
588,0.746437395
589,0.746437395
590,0.746437395
591,0.746437395
592,0.746437395
593,0.746437395
594,0.746437395
595,0.746437395
596,0.746437395
597,0.746437395
598,0.746437395
599,0.746437395
600,0.746437395
601,0.746437395
602,0.746437395
603,0.746437395
604,0.746437395
605,0.746437395
606,0.746437395
607,0.746437395
608,0.746437395
609,0.746437395
610,0.746437395
611,0.746437395
612,0.746437395
613,0.746437395
614,0.746437395
615,0.746437395
616,0.746437395
617,0.746437395
618,0.746437395
619,0.746437395
620,0.746437395
621,0.746437395
622,0.746437395
623,0.746437395
624,0.746437395
625,0.746437395
626,0.746437395
627,0.746437395
628,0.746437395
629,0.746437395
630,0.746437395
631,0.746437395
632,0.746437395
633,0.746437395
634,0.746437395
635,0.746437395
636,0.746437395
637,0.746437395
638,0.746437395
639,0.746437395
640,0.746437395
641,0.746437395
642,0.746437395
643,0.746437395
644,0.746437395
645,0.746437395
646,0.746437395
647,0.746437395
648,0.746437395
649,0.746437395
650,0.746437395
651,0.746437395
652,0.746437395
653,0.746437395
654,0.746437395
655,0.746437395
656,0.746437395
657,0.746437395
658,0.746437395
659,0.746437395
660,0.746437395
661,0.746437395
662,0.746437395
663,0.746437395
664,0.746437395
665,0.746437395
666,0.746437395
667,0.746437395
668,0.746437395
669,0.746437395
670,0.746437395
671,0.746437395
672,0.746437395
673,0.746437395
674,0.746437395
675,0.746437395
676,0.746437395
677,0.746437395
678,0.746437395
679,0.746437395
680,0.746437395
681,0.746437395
682,0.746437395
683,0.746437395
684,0.746437395
685,0.746437395
686,0.746437395
687,0.746437395
688,0.746437395
689,0.746437395
690,0.746437395
691,0.746437395
692,0.746437395
693,0.746437395
694,0.746437395
695,0.746437395
696,0.746437395
697,0.746437395
698,0.746437395
699,0.746437395
700,0.746437395
701,0.746437395
702,0.746437395
703,0.746437395
704,0.746437395
705,0.746437395
706,0.746437395
707,0.746437395
708,0.746437395
709,0.746437395
710,0.746437395
711,0.746437395
712,0.746437395
713,0.746437395
714,0.746437395
715,0.746437395
716,0.746437395
717,0.746437395
718,0.746437395
719,0.746437395
720,0.746437395
721,0.746437395
722,0.746437395
723,0.746437395
724,0.746437395
725,0.746437395
726,0.746437395
727,0.746437395
728,0.746437395
729,0.746437395
730,0.746437395
731,0.746437395
732,0.746437395
733,0.746437395
734,0.746437395
735,0.746437395
736,0.746437395
737,0.746437395
738,0.746437395
739,0.746437395
740,0.746437395
741,0.746437395
742,0.746437395
743,0.746437395
744,0.746437395
745,0.746437395
746,0.746437395
747,0.746437395
748,0.746437395
749,0.746437395
750,0.746437395
751,0.746437395
752,0.746437395
753,0.746437395
754,0.746437395
755,0.746437395
756,0.746437395
757,0.746437395
758,0.746437395
759,0.746437395
760,0.746437395
761,0.746437395
762,0.746437395
763,0.746437395
764,0.746437395
765,0.746437395
766,0.746437395
767,0.746437395
768,0.746437395
769,0.746437395
770,0.746437395
771,0.746437395
772,0.746437395
773,0.746437395
774,0.746437395
775,0.746437395
776,0.746437395
777,0.746437395
778,0.746437395
779,0.746437395
780,0.746437395
781,0.746437395
782,0.746437395
783,0.746437395
784,0.746437395
785,0.746437395
786,0.746437395
787,0.746437395
788,0.746437395
789,0.746437395
790,0.746437395
791,0.746437395
792,0.746437395
793,0.746437395
794,0.746437395
795,0.746437395
796,0.746437395
797,0.746437395
798,0.746437395
799,0.746437395
800,0.746437395
801,0.746437395
802,0.746437395
803,0.746437395
804,0.746437395
805,0.746437395
806,0.746437395
807,0.746437395
808,0.746437395
809,0.746437395
810,0.746437395
811,0.746437395
812,0.746437395
813,0.746437395
814,0.746437395
815,0.746437395
816,0.746437395
817,0.746437395
818,0.746437395
819,0.746437395
820,0.746437395
821,0.746437395
822,0.746437395
823,0.746437395
824,0.746437395
825,0.746437395
826,0.746437395
827,0.746437395
828,0.746437395
829,0.746437395
830,0.746437395
831,0.746437395
832,0.746437395
833,0.746437395
834,0.746437395
835,0.746437395
836,0.746437395
837,0.746437395
838,0.746437395
839,0.746437395
840,0.746437395
841,0.746437395
842,0.746437395
843,0.746437395
844,0.746437395
845,0.746437395
846,0.746437395
847,0.746437395
848,0.746437395
849,0.746437395
850,0.746437395
851,0.746437395
852,0.746437395
853,0.746437395
854,0.746437395
855,0.746437395
856,0.746437395
857,0.746437395
858,0.746437395
859,0.746437395
860,0.746437395
861,0.746437395
862,0.746437395
863,0.746437395
864,0.746437395
865,0.746437395
866,0.746437395
867,0.746437395
868,0.746437395
869,0.746437395
870,0.746437395
871,0.746437395
872,0.746437395
873,0.746437395
874,0.746437395
875,0.746437395
876,0.746437395
877,0.746437395
878,0.746437395
879,0.746437395
880,0.746437395
881,0.746437395
882,0.746437395
883,0.746437395
884,0.746437395
885,0.746437395
886,0.746437395
887,0.746437395
888,0.746437395
889,0.746437395
890,0.746437395
891,0.746437395
892,0.746437395
893,0.746437395
894,0.746437395
895,0.746437395
896,0.746437395
897,0.746437395
898,0.746437395
899,0.746437395
900,0.746437395
901,0.746437395
902,0.746437395
903,0.746437395
904,0.746437395
905,0.746437395
906,0.746437395
907,0.746437395
908,0.746437395
909,0.746437395
910,0.746437395
911,0.746437395
912,0.746437395
913,0.746437395
914,0.746437395
915,0.746437395
916,0.746437395
917,0.746437395
918,0.746437395
919,0.746437395
920,0.746437395
921,0.746437395
922,0.746437395
923,0.746437395
924,0.746437395
925,0.746437395
926,0.746437395
927,0.746437395
928,0.746437395
929,0.746437395
930,0.746437395
931,0.746437395
932,0.746437395
933,0.746437395
934,0.746437395
935,0.746437395
936,0.746437395
937,0.746437395
938,0.746437395
939,0.746437395
940,0.746437395
941,0.746437395
942,0.746437395
943,0.746437395
944,0.746437395
945,0.746437395
946,0.746437395
947,0.746437395
948,0.746437395
949,0.746437395
950,0.746437395
951,0.746437395
952,0.746437395
953,0.746437395
954,0.746437395
955,0.746437395
956,0.746437395
957,0.746437395
958,0.746437395
959,0.746437395
960,0.746437395
961,0.746437395
962,0.746437395
963,0.746437395
964,0.746437395
965,0.746437395
966,0.746437395
967,0.746437395
968,0.746437395
969,0.746437395
970,0.746437395
971,0.746437395
972,0.746437395
973,0.746437395
974,0.746437395
975,0.746437395
976,0.746437395
977,0.746437395
978,0.746437395
979,0.746437395
980,0.746437395
981,0.746437395
982,0.746437395
983,0.746437395
984,0.746437395
985,0.746437395
986,0.746437395
987,0.746437395
988,0.746437395
989,0.746437395
990,0.746437395
991,0.746437395
992,0.746437395
993,0.746437395
994,0.746437395
995,0.746437395
996,0.746437395
997,0.746437395
998,0.746437395
999,0.746437395
1000,0.746437395
